feature_set,model,threshold_type,threshold,validation_PR_AUC,validation_ROC_AUC,validation_precision,validation_recall,validation_F1,test_PR_AUC,test_ROC_AUC,test_precision,test_recall,test_F1
transaction_only,Logistic Regression,validation_tuned_F1,0.5722882122146697,0.07086542987781252,0.6304454907939891,0.07887049659201557,0.3144409937888199,0.12610929440145782,0.07022362871215418,0.6339556845991559,0.07657095297544736,0.2946357085668535,0.12155243600330305
integrated,Logistic Regression,validation_tuned_F1,0.575212341046738,0.07082299537111245,0.626632944175526,0.07943159045363454,0.3385093167701863,0.1286705028646275,0.06945680517617689,0.6328154172323982,0.07560627674750357,0.29703763010408324,0.12053281351526965
transaction_only,XGBoost,validation_tuned_F1,0.49867162108421326,0.06398852395930214,0.6097880357986531,0.06932748875302804,0.4666149068322981,0.12071909187076646,0.06121994072193843,0.6091749264598977,0.06570550697234696,0.44515612489991996,0.11450931932859644
transaction_only,LightGBM,validation_tuned_F1,0.47463653518741805,0.06197414303382301,0.5952731717558309,0.06516482117856688,0.39751552795031053,0.11197375590889108,0.060660072127765044,0.5980526760805536,0.06525390877374337,0.4043234587670136,0.11237205162438807
integrated,Random Forest,validation_tuned_F1,0.14391168579899796,0.0688808967832931,0.6103832189107851,0.07187608771319179,0.32065217391304346,0.11742962722429527,0.060453912246410814,0.6040322084108106,0.06331139960874978,0.28502802241793435,0.10360884749708964
transaction_only,Random Forest,validation_tuned_F1,0.2083521318985066,0.06274837127299555,0.6037326381377536,0.07083931133428982,0.30667701863354035,0.11509323978837052,0.06034957926170117,0.6097881122191064,0.06531937928545652,0.2898318654923939,0.10661169194522162
transaction_only,MLP,validation_tuned_F1,0.2044892393943967,0.05497808112806363,0.5700097909589169,0.057728351868049484,0.358695652173913,0.09945108145313827,0.052511190107071185,0.5622286984747619,0.054806251338043246,0.20496397117694154,0.08648648648648649
integrated,LightGBM,validation_tuned_F1,0.3886863893059952,0.05475270917953557,0.5705378180655523,0.05788678368011159,0.38664596273291924,0.10069760365579265,0.051715835437346674,0.5529817196597526,0.048003770282097895,0.5708566853482786,0.08856042727611477
integrated,XGBoost,validation_tuned_F1,0.4248730540275574,0.05685164904504175,0.5726541313476825,0.06109022556390977,0.3027950310559006,0.10166840430871572,0.047538840513025045,0.5245784328760354,0.05233968804159445,0.12089671737389912,0.07305273343009192
integrated,MLP,validation_tuned_F1,0.005412643634232391,0.04817927125159351,0.5326554222789095,0.04665812513346146,0.6785714285714286,0.08731268719229415,0.04622361914930866,0.5368132146146816,0.04557823129251701,0.5900720576461169,0.08462024226419428
transaction_only,Logistic Regression,default_0.50,0.5,0.07086542987781252,0.6304454907939891,0.06720663388294282,0.5411490683229814,0.11956428510163822,0.07022362871215418,0.6339556845991559,0.06670673076923077,0.533226581265012,0.11857918632600374
integrated,Logistic Regression,default_0.50,0.5,0.07082299537111245,0.626632944175526,0.06653321894957583,0.5419254658385093,0.11851600305628661,0.06945680517617689,0.6328154172323982,0.06687544196383473,0.5300240192153723,0.11876569788302835
transaction_only,XGBoost,default_0.50,0.5,0.06398852395930214,0.6097880357986531,0.06887340301974448,0.46040372670807456,0.11982218630026267,0.06121994072193843,0.6091749264598977,0.0658882402001668,0.44275420336269017,0.11470649242895664
transaction_only,LightGBM,default_0.50,0.5,0.06197414303382301,0.5952731717558309,0.06491977035183277,0.3423913043478261,0.10914490780843955,0.060660072127765044,0.5980526760805536,0.06639505055077713,0.3522818254603683,0.11173184357541899
integrated,Random Forest,default_0.50,0.5,0.0688808967832931,0.6103832189107851,0.0,0.0,0.0,0.060453912246410814,0.6040322084108106,0.0,0.0,0.0
transaction_only,Random Forest,default_0.50,0.5,0.06274837127299555,0.6037326381377536,0.14285714285714285,0.0038819875776397515,0.007558578987150416,0.06034957926170117,0.6097881122191064,0.11428571428571428,0.0032025620496397116,0.006230529595015576
transaction_only,MLP,default_0.50,0.5,0.05497808112806363,0.5700097909589169,0.06706981858163827,0.09472049689440994,0.0785323463147731,0.052511190107071185,0.5622286984747619,0.06734867860187553,0.0632506004803843,0.06523534269199009
integrated,LightGBM,default_0.50,0.5,0.05475270917953557,0.5705378180655523,0.060107948969578016,0.19021739130434784,0.09134973900074571,0.051715835437346674,0.5529817196597526,0.050216642595267195,0.36188951160928745,0.08819512195121951
integrated,XGBoost,default_0.50,0.5,0.05685164904504175,0.5726541313476825,0.06235827664399093,0.17080745341614906,0.09136212624584718,0.047538840513025045,0.5245784328760354,0.06420664206642067,0.06965572457966374,0.06682027649769585
integrated,MLP,default_0.50,0.5,0.04817927125159351,0.5326554222789095,0.051089674883887104,0.1110248447204969,0.06997797895767066,0.04622361914930866,0.5368132146146816,0.04989429175475687,0.0944755804643715,0.0653016048699502
