feature_set,model,candidate_id,validation_PR_AUC,validation_ROC_AUC,validation_tuned_threshold,validation_precision_tuned,validation_recall_tuned,validation_F1_tuned,test_PR_AUC,test_ROC_AUC,test_precision,test_recall,test_F1,params
transaction_only,Logistic Regression,1,0.07088695467807526,0.6304639597095335,0.5714813572873435,0.07868217054263565,0.31521739130434784,0.12593052077210928,0.07020156331258708,0.6340117135620083,0.07663628831814416,0.2962369895916733,0.12177061049860129,"{'C': 0.1, 'penalty': 'l2'}"
transaction_only,Logistic Regression,2,0.07088416686287076,0.6304467076332271,0.5721536235466658,0.07885514018691589,0.3144409937888199,0.12608966344029934,0.07019664841257461,0.6340011037037345,0.07626588872681808,0.2930344275420336,0.12103174603174603,"{'C': 1.0, 'penalty': 'l2'}"
transaction_only,Logistic Regression,3,0.07088345569123693,0.6304462749792759,0.5721897981627738,0.07885514018691589,0.3144409937888199,0.12608966344029934,0.07019624267159408,0.6340004632136024,0.07626588872681808,0.2930344275420336,0.12103174603174603,"{'C': 3.0, 'penalty': 'l2'}"
transaction_only,Logistic Regression,4,0.07091280408300782,0.6305265863689776,0.5724730640080611,0.0789576802507837,0.31288819875776397,0.12609511857682554,0.0701928738206283,0.6340276979679114,0.07658505963590709,0.2930344275420336,0.12143331121433311,"{'C': 0.3, 'penalty': 'l1'}"
integrated,Logistic Regression,1,0.07069262476932935,0.6264059901372204,0.5681606288902287,0.07812235214370446,0.3579192546583851,0.1282514950459762,0.06957733898103623,0.6327583857632523,0.07502841985600606,0.31705364291433147,0.12134211735866401,"{'C': 0.1, 'penalty': 'l2'}"
integrated,Logistic Regression,4,0.07085599734655912,0.6267249913036554,0.5751435793665041,0.07954752782338989,0.3385093167701863,0.12882257318867768,0.06950609922575768,0.6328490290406301,0.07555646314069839,0.2962369895916733,0.12040351448096323,"{'C': 0.3, 'penalty': 'l1'}"
integrated,Logistic Regression,2,0.0708281443994203,0.6266481141046919,0.6044614007965112,0.08659738875566214,0.25232919254658387,0.12894266972469362,0.06944070350153458,0.6328342142254029,0.08294392523364486,0.22738190552441953,0.12154932591482988,"{'C': 1.0, 'penalty': 'l2'}"
integrated,Logistic Regression,3,0.07084525016923493,0.6266647712818152,0.6044592789588021,0.08650519031141868,0.25232919254658387,0.12884043569507603,0.06943104335660596,0.6328405634319288,0.08253135024788569,0.22658126501200962,0.12099187687045745,"{'C': 3.0, 'penalty': 'l2'}"
transaction_only,LightGBM,5,0.06657676590620601,0.6170542966647572,0.5263426703285654,0.06834686031610424,0.4968944099378882,0.12016522697479164,0.0668007067688743,0.6236408694971003,0.06650140116404397,0.49399519615692555,0.11722238054526456,"{'n_estimators': 300, 'learning_rate': 0.05, 'num_leaves': 15, 'min_child_samples': 50, 'reg_lambda': 1.0}"
transaction_only,LightGBM,7,0.06549304058508054,0.6165394655036351,0.5505592972917538,0.07327655471637474,0.35403726708074534,0.12142191424121118,0.0636014435790743,0.6218832392615772,0.06877623506619308,0.3410728582866293,0.11446997178557033,"{'n_estimators': 300, 'learning_rate': 0.05, 'num_leaves': 31, 'min_child_samples': 100, 'reg_lambda': 5.0}"
integrated,LightGBM,6,0.061268259118538296,0.6076466556282222,0.503820861940969,0.06524271844660194,0.391304347826087,0.11183845531921917,0.06275424667410584,0.6041527597926137,0.05413716655939355,0.6060848678943155,0.09939600840336134,"{'n_estimators': 400, 'learning_rate': 0.03, 'num_leaves': 31, 'min_child_samples': 50, 'reg_lambda': 5.0}"
transaction_only,LightGBM,6,0.06527001330876996,0.622355281039027,0.49872477469613624,0.0688912809472551,0.4968944099378882,0.12100586100753065,0.06274899305837191,0.6209275722898238,0.06639184204816663,0.4899919935948759,0.11693895098882201,"{'n_estimators': 400, 'learning_rate': 0.03, 'num_leaves': 31, 'min_child_samples': 50, 'reg_lambda': 5.0}"
integrated,LightGBM,7,0.06341301594366186,0.6058932714090154,0.47654050590169245,0.06863309352517985,0.3703416149068323,0.11580480672818086,0.062258872377009,0.6001408966900834,0.06245533800200086,0.3498799039231385,0.10599078341013825,"{'n_estimators': 300, 'learning_rate': 0.05, 'num_leaves': 31, 'min_child_samples': 100, 'reg_lambda': 5.0}"
integrated,LightGBM,5,0.06031198871248942,0.6010748043538833,0.5031724940378339,0.06217955710701429,0.44254658385093165,0.10903873723016254,0.05727322593874265,0.5715299518666096,0.04736576899389732,0.677341873498799,0.08854003139717426,"{'n_estimators': 300, 'learning_rate': 0.05, 'num_leaves': 15, 'min_child_samples': 50, 'reg_lambda': 1.0}"
